,Predicted fluorescence,Observed fluorescence
0,3.7576725,3.964797987313234
1,3.8171055,4.008251505833227
2,3.828399,3.966746530575344
3,3.8437274,4.004342234005876
4,3.8044813,3.905592867328689
5,3.925835,4.050726789145318
6,2.8130393,2.9998310169757176
7,3.9502938,4.127372098525884
8,3.4135664,3.51506225796418
9,3.3980618,3.348224244668393
10,2.3524935,2.304692246616876
11,3.530633,3.650532382664934
12,3.7971957,3.914445237060261
13,3.7591631,3.843967177296888
14,3.8441896,3.919281853890476
15,3.698263,3.887936921250175
16,3.8714664,3.968073573746816
17,3.7835763,3.906891763511967
18,3.856458,3.950869378367838
19,3.8222952,3.913160711585716
20,3.8794043,3.931943178415111
21,2.4133644,2.716237063693581
22,2.4019568,2.4994218699398543
23,3.8211503,3.96986791192098
24,2.4424813,1.9559266079305264
25,3.8374586,3.910619134790104
26,3.8920033,3.9571472329177135
27,3.747704,3.7711321371346656
28,3.7953286,3.884515128706133
29,3.8203027,3.905891409599804
30,3.5416605,3.6167507546056
31,2.5410106,2.414152536858582
32,3.6528258,3.738941031594317
33,3.77346,3.868263578672082
34,3.8173115,3.868366003081496
35,3.853945,3.970213104952688
36,3.817852,3.889397314889204
37,2.315783,2.531921362713358
38,3.8250344,4.006759970965575
39,3.735717,3.739868624858098
40,3.804681,3.898138227967268
41,3.2835376,3.367160830052577
42,3.8066144,3.933282126131484
43,3.837774,3.947982047959649
44,3.37784,3.481264099325018
45,3.8432946,3.9535423248239008
46,3.6288989,3.6964737385615702
47,2.4374025,2.2499744309556804
48,3.9114397,3.977558606491833
49,3.940381,4.053287751788952
50,3.7861755,3.958425498231168
51,3.8378687,4.015649984711717
52,3.814956,3.936567856257478
53,3.7292373,3.826530031752114
54,4.079396,4.124396426141299
55,3.8018649,3.9718050421637225
56,2.3790257,2.3257614906314945
57,3.75691,3.862014700428273
58,3.7895162,3.963709994614193
59,3.9839852,4.095906435349682
60,2.4948711,2.432774973986281
61,3.6914332,3.789649409520686
62,3.7180855,3.7011940548694553
63,2.7828386,3.324288989608793
64,2.5056384,2.8606544209935376
65,3.7987862,3.866238854789435
66,2.4322484,3.801893429662248
67,3.8899572,4.0178234473731065
68,3.8167927,3.900841338645403
69,3.799502,3.860150065421432
70,2.3734822,2.5519214780163377
71,3.740485,3.921955329664169
72,2.6258047,3.3588123969826773
73,3.6592743,3.8083216660862975
74,3.7484856,3.825403990340765
75,3.9757261,4.0918268066206185
76,3.8419833,3.936974129203217
77,3.827183,3.937675226424135
78,3.4933934,3.7177740112942015
79,3.8121088,3.960218286588988
80,3.7726743,3.962779739235849
81,3.8938856,3.783814868372864
82,3.3999012,3.662242150743885
83,3.8436346,3.99874862050992
84,2.3544915,2.150500848055644
85,3.676868,3.808717060388256
86,2.3812854,1.9633579338306488
87,3.8126433,3.931936700727056
88,3.7122428,3.8692695203431393
89,3.3297255,3.6882233560084847
90,2.3332906,2.365600445921936
91,2.3994148,2.6397033549875477
92,3.8659647,3.939682294315293
93,3.8965738,3.992791344377387
94,3.8411925,3.98072610204401
95,3.7681038,3.7831829256645007
96,3.532909,3.119615439707468
97,3.8495436,3.954731132927194
98,3.7960174,3.902585686924709
99,2.3873212,2.3613332646587537
100,3.7977433,3.896462849339234
101,2.48637,2.299911631122426
102,3.538556,3.6897968333194138
103,3.8557096,4.051343678753516
104,3.8862755,3.89018679553948
105,3.682659,3.978862625021636
106,3.411515,3.671767020556523
107,2.3329458,2.4495952338516207
108,3.8397033,3.9777157303174246
109,3.6882887,3.938468512705453
110,3.9139764,3.92523687157038
111,3.8917334,4.086022299218869
112,3.7616189,3.8896111192642433
113,3.7981415,3.925543402204198
114,3.7010975,3.828840996814599
115,3.834653,4.001048285055772
116,3.5849383,3.5938899370734667
117,3.8914247,4.125627617400344
118,3.759318,3.819601296669436
119,2.3880553,2.098229533694965
120,3.5438037,2.747817998359805
121,2.7734787,3.1849948866784623
122,2.42683,2.442643381568621
123,2.533519,2.4293682514421877
124,3.471892,3.7293869583544743
125,3.6998074,3.949682794974835
126,3.892266,3.936606052931227
127,2.690051,2.437194940592917
128,3.7868736,3.91847921246683
129,3.621055,3.8513258971654594
130,2.854492,2.5378715436428965
131,3.7015498,3.764886462507504
132,3.8101792,3.967706557208
133,3.556877,3.798065046340731
134,2.3883634,2.543662142972112
135,3.9624317,4.049501484317642
136,3.4133017,3.757350373605126
137,3.5380278,3.403577434914303
138,3.6576912,3.875514448435181
139,2.4081151,2.1200172062167177
140,3.88309,3.965437002927041
141,3.643767,3.633938664589824
142,2.245652,2.57929164445703
143,3.856044,3.92965832855086
144,3.8187084,3.940065683545533
145,3.7682116,3.914715082099205
146,3.1668584,3.279281844174568
147,3.9623473,4.174128110343005
148,2.2744813,2.7082780317867368
149,3.8056595,3.840853192853394
150,3.847849,3.94339578501628
151,3.2933686,2.454756102540033
152,2.6368515,2.755552356663609
153,3.721032,3.871508439237939
154,3.8616548,3.949835877087037
155,2.3942418,2.362433300418295
156,3.8515482,3.964209675199489
157,3.6846151,3.566164682561764
158,3.6015809,3.74180569018901
159,3.6580489,3.916872800935935
160,3.853469,3.941945761178248
161,3.3114595,3.468454551577844
162,3.6159732,3.715390539775092
163,3.689676,3.7788954048969705
164,3.7438881,3.909440961955498
165,3.6650078,2.520332152401497
166,3.8659418,4.012376470104191
167,3.7901149,3.867079110266736
168,3.1870556,3.2960615663456347
169,2.398688,2.3175018718161877
170,3.85457,3.969987105218024
171,3.840268,3.9135048797447296
172,3.80998,3.8907469301816926
173,3.843594,3.917798208022816
174,3.7218456,3.855068815759896
175,3.7959387,3.870950679643072
176,3.7831874,3.853633005067512
177,2.3073244,2.695142395480171
178,2.7508154,2.929454643218083
179,3.711805,3.918485699110687
180,3.8492243,3.950590589777113
181,3.7896898,3.916677375074255
182,3.6172533,3.7128479097204186
183,3.4370728,3.8310305969979424
184,3.6127446,3.970712132018912
185,2.4160526,2.5294368343506446
186,2.3510778,2.3912224886305835
187,3.8218086,3.874774728825007
188,3.8713005,3.957433864243925
189,3.7476676,3.930284950914571
190,3.5241988,3.721627519646692
191,3.8843825,3.980860174914248
192,3.0881596,3.3385916990681856
193,3.688157,3.632285163556314
194,3.7534833,3.8535683852092326
195,2.4861238,2.421728956357022
196,3.7375305,3.793449922270253
197,3.7985475,3.988161938861465
198,3.799876,3.90861805321936
199,3.6573536,3.4919966791861263
200,3.598521,3.7663671823707614
201,3.177814,3.4032115458729457
202,3.459524,3.6660571716995394
203,2.3678668,2.8607332759703774
204,3.0844543,2.474239732883691
205,3.8173814,3.8795854371673655
206,3.7973342,3.850408575148266
207,3.7386825,3.8459316989488976
208,2.4300344,2.370619383721891
209,3.6796935,3.785881014996683
210,2.3593345,2.332924215570273
211,3.8977227,3.9725288024948666
212,3.8273847,3.963946261426269
213,3.8037121,3.951641704174097
214,3.8291793,3.960573672598036
215,3.723166,3.7646886223908806
