,Predicted fluorescence,Observed fluorescence
0,4.359232,4.445361497722836
1,2.4601843,2.3343846499773124
2,2.8743877,3.241763639747347
3,4.337148,3.928120271666389
4,2.3169007,2.1000173586615203
5,2.6237538,2.1218642700410504
6,2.7694657,2.20691950022268
7,4.455362,4.451571733520557
8,4.4618955,4.480665654036564
9,2.8457055,2.380274027334927
10,4.4337816,4.5058176168394
11,4.2482944,3.885674034130174
12,4.321585,4.375482640059801
13,4.2891755,4.372866033724868
14,4.349846,4.373977526552648
15,4.4843807,4.485290232588408
16,2.738221,2.4033934984725027
17,2.2490206,1.9105983594512368
18,2.8871286,3.258602384828767
19,2.4364266,2.2606617084789837
20,2.5227597,2.514071391342664
21,2.7112637,1.9897347771535925
22,2.542899,2.1265734397368234
23,4.2582383,4.332326043260159
24,2.4289527,2.431375963811565
25,2.4470918,2.121287416522703
26,2.6163898,2.0667413423742538
27,4.4768763,4.5062037221465
28,2.4954007,2.208533364412044
29,2.7794042,2.3101494198636123
30,2.5896645,2.44069141278489
31,4.3956003,4.402709275890936
32,3.689501,2.1990435947163123
33,4.398058,4.413563722114247
34,4.4236007,4.445135113166966
35,4.434973,4.457493668482659
36,2.4607687,1.885712785371376
37,2.8161972,2.481506937374824
38,4.36773,4.330668033731789
39,3.8808846,2.05767259042386
40,2.3978665,1.8930557325610355
41,2.5249555,2.4857045324546068
42,3.4235127,3.7722868494103383
43,4.02193,4.382326751662167
44,2.5428567,2.419371154562388
45,4.158855,3.881169034742015
46,2.7460787,2.199883177693964
47,2.5019343,2.092470819751949
48,3.6892726,2.4749893527447187
49,4.066772,2.577565279726471
50,4.44968,4.482717355320959
51,3.1770155,3.1143252134639097
52,4.446409,4.416684591349009
53,4.307074,4.345987229059755
54,4.4028487,4.3081483485670455
55,2.415444,2.4904648742883118
56,2.567993,2.451581550129512
57,2.4677324,2.503909645958153
58,4.3524065,4.258788861588664
59,2.332118,2.480691945402465
60,4.4622254,4.469336667708246
61,4.388208,4.430843090108751
62,3.422046,2.3716880027663634
63,4.333589,4.286937972421665
64,3.0787756,2.3477040873960777
65,2.6081245,2.23196602935832
66,4.4889235,4.442524162301521
67,2.6451619,2.703246009047441
68,2.4116871,2.232942331047377
69,4.52031,4.558180562029925
70,2.6202548,1.984879361693337
71,2.493652,2.547758530453076
72,4.3486547,4.465805726659198
73,2.7802045,2.0451118820740843
74,2.8498025,3.452702670919076
75,2.2202814,2.390722971353852
76,2.4598677,2.2195659913981003
77,4.3882303,4.421779656919377
78,2.296353,2.431494871512493
79,4.382241,4.421446254593516
80,2.638647,2.4662616243002526
81,3.5098994,4.277409535053977
82,4.3271337,4.326482690653781
83,3.1373563,4.257379138145965
84,4.1444006,4.377710526225523
85,4.4031754,4.415180660785255
86,4.4616847,4.466235415374639
87,4.501405,4.40082433111241
88,2.5988324,2.373782066176318
89,4.5332284,4.4766252242716025
90,2.5714931,2.084260468991868
91,4.5223403,4.53775528264665
92,4.1875978,3.906577339562701
93,3.6111574,2.238993935903694
94,2.3729396,2.016756929799824
95,2.592419,2.732860572824006
96,2.4294553,2.05414645766312
97,4.4325795,3.9554403555991096
98,2.9307053,2.210145203786212
99,2.6290112,2.415919846263942
100,2.577103,2.139558308313268
101,2.9557977,2.166785953245649
102,2.9055958,2.4246041040685986
103,4.3528156,4.454939000997333
104,4.5292463,4.527935763277614
105,2.846021,4.433088677050808
106,4.452419,4.4922506760386725
107,4.460122,4.411126851676412
108,4.129034,3.540570626397658
109,3.907179,3.619255767501994
110,4.0827894,4.10779113778091
111,2.5145109,2.4923007735207534
112,4.3764973,4.293117308697195
113,4.4544215,4.407284826573505
114,4.4680037,4.550117455442564
115,4.383918,4.319454439721906
116,4.0906534,3.981334559459688
117,3.1636662,2.288391058278082
118,2.5430512,2.390159812806183
119,4.5585613,4.485916990241096
120,4.476189,4.485517954144727
121,4.44608,4.357803736117931
122,2.951434,2.4729868101665096
123,2.7546918,2.357451540722206
124,4.424627,4.424954471283423
125,2.7732227,2.2050018208814937
126,4.291244,4.115390423058452
127,4.4851465,4.48696380679239
128,2.4744015,2.7833286207491
129,2.518408,2.4158778466478803
130,4.0309176,3.7650072466818942
131,4.3680663,4.411665358824363
132,2.979178,3.639578315618403
133,2.6126447,1.8184013032331727
134,4.2187204,4.425783621013374
135,2.813995,2.4172840853640336
136,3.2404313,3.659620028290489
137,4.4195666,4.398728243063159
138,2.962607,2.0555473214559417
139,2.7979045,3.917515204342375
140,4.459088,4.422354247693557
141,4.0718317,4.3043185155828665
142,2.798817,3.241492920032194
143,2.747528,3.722442319671409
144,4.346425,4.360423471593011
145,4.2983603,4.171929202875043
146,4.1101174,2.3929351492428337
147,4.0111904,4.192047921794781
148,2.7511148,2.072153799750604
149,3.8143618,2.39579820268488
150,3.9910939,4.229023779348169
151,4.408432,4.4220416787014925
152,4.4313383,4.460236914044844
153,4.3818154,4.416665826753063
154,4.386078,4.391244022101304
155,2.6539915,2.487976151453874
156,2.6588528,2.234763152028784
157,2.4165134,2.3131474603100743
158,4.262786,4.335219336389953
159,4.401715,4.374864335219006
160,4.4655595,4.526315474591438
161,2.9480066,3.12966682623812
162,4.310563,4.346657628184543
163,2.6654944,2.2563398597233117
164,2.61941,2.1355461167528005
165,4.4789,4.493856151416489
166,4.496312,4.487785117608375
167,4.496454,4.3478529552464495
168,2.6041882,2.4365371862391654
169,2.303841,2.0548450108577536
170,3.0249007,3.141967263651359
171,4.4152856,4.441011022408437
172,3.5499048,3.7306985721840618
173,4.4351177,4.447757600843264
174,3.1608913,4.263930447777567
175,4.3394065,4.339119645755561
176,2.453678,2.324633215433727
177,4.347215,4.262729609028359
178,4.4233694,4.461963281203545
179,4.2564163,4.322660312482361
180,2.8079238,2.2021406497527938
181,4.1091332,4.330472119930511
182,2.648718,2.5854611247140857
183,2.5482001,2.440041524467274
184,4.3214545,4.338984971407165
185,4.431692,4.440115033950134
186,2.6778388,1.8227486070750365
187,2.749533,2.126733032688215
188,2.5148616,2.5884928371572307
189,2.4903913,2.398355836136084
190,4.474245,4.4381162227328845
191,2.851072,3.362504213114054
192,4.511063,4.506088450754754
193,4.3397326,4.371285636416865
194,2.4882822,2.3196283731485066
195,2.6341317,2.1071134654948613
196,4.4359756,4.466294233908817
197,2.6599107,2.492529704432355
198,3.021954,2.7144359490382484
199,4.1209106,4.178833572731636
200,2.5811703,2.484657714277836
201,2.4616199,2.936151782747281
202,2.5929787,2.6979487722626114
203,4.5000215,4.450465166505125
204,4.3710175,4.467777577603585
205,4.4326653,4.521374874777697
206,2.7500236,3.306872937487384
207,1.173016,1.9654139794114096
208,2.4821115,2.854239276883867
209,4.444731,4.455556931870851
210,4.4455056,4.385328140263973
211,4.15465,4.289930955268984
212,2.140074,2.2147141429120474
213,4.5026693,4.471421271978594
214,2.4632082,1.9825511117453487
215,2.8352003,2.347763635714863
216,4.4530787,4.473534390870491
217,2.4380512,2.563891336676257
218,4.1653156,2.528035749922568
219,2.6015651,2.7235879840394257
220,2.6300356,2.422990020664123
221,4.384153,4.399195891291389
222,2.7860215,2.557876913498912
223,2.8610017,2.2242799887161384
224,4.04665,4.217615610103845
225,4.382149,4.414298748143858
226,2.3951764,1.4378055080530927
227,3.1269906,4.283885870018025
228,2.623506,4.215023867960167
229,4.518295,4.377954765805229
230,4.4894853,4.474798602099752
231,4.3965535,4.404334775146287
232,2.492886,2.567483328344284
