,Predicted fluorescence,Observed fluorescence
0,4.0829372,4.037962961853133
1,4.1371393,4.097180684731207
2,4.2405148,4.216357108256331
3,4.2501526,4.203515277893372
4,4.1194687,4.0911353666216375
5,4.273098,4.209968308098511
6,4.176879,4.153085842897622
7,4.0514,4.118020090831475
8,4.1538,4.091042983700334
9,4.112248,4.10875348647909
10,4.2271495,4.255243667930268
11,4.135164,4.2266694271803065
12,4.153885,4.246952352757281
13,4.121426,4.177389944379923
14,4.0071096,4.021527816309922
15,4.1110506,4.177181161082171
16,4.215227,4.180202466145087
17,4.226535,4.238863145890062
18,4.2355766,4.23932994980773
19,4.203367,4.126592817221377
20,4.2190313,4.103257615569966
21,4.166725,4.202320070591999
22,4.2173185,4.219154595055768
23,4.178802,4.1761903752502025
24,4.0448313,4.03806392924825
25,4.110064,4.25185093226966
26,4.2651734,4.123429064826839
27,4.148605,4.0919416585576815
28,4.1709576,4.176381317376198
29,4.202988,4.116746795676627
30,4.1710005,4.13372262684922
31,4.0375333,4.043139165054293
32,4.2187595,4.217355270812823
33,4.111724,3.9484673734585933
34,4.1031475,4.102564988934943
35,4.157379,4.152689243940301
36,4.031734,3.6380967426799344
37,4.101328,4.170645695587113
38,4.058819,4.060189403018288
39,4.07992,4.175693339864285
40,4.1944036,4.1807560301223345
41,4.2294908,4.193392965571461
42,4.195039,4.141458947951878
43,4.069702,4.093249597405936
44,4.0122986,4.067328420250023
45,4.2728047,4.196334605756793
46,3.057775,3.3839644585865165
47,4.27915,4.218050104028499
48,4.2357826,4.1407756903967226
49,3.5604477,3.4674809918147735
50,4.166479,4.149474749442915
51,3.0068264,3.1999100938059275
52,4.199093,4.224783056418476
53,4.091071,4.053638252076919
54,4.23193,4.21151631694607
55,4.136848,4.179376800189521
56,4.381792,4.3740200748638465
57,4.1641016,4.155077467701871
58,4.184584,4.160671112423356
59,2.5856845,2.483571078286404
60,4.142126,4.088930854003196
61,4.149998,4.106613940045857
62,4.1500864,4.145924078307963
63,4.2935505,4.264728417074336
64,2.6020646,2.4190019108380296
65,4.2564564,4.255849167090558
66,4.207262,4.192131434822975
67,4.231839,4.0879327452849985
68,4.1259193,4.127492364538403
69,4.363327,4.366453491173864
70,4.274159,4.226260501265268
71,3.3488102,3.6222219718658466
72,4.3595505,4.357557182346392
73,4.210411,4.138607241995899
74,4.420107,4.39248757291059
75,2.6212873,2.5004851728669193
76,4.200799,4.200149315242238
77,4.094342,4.0880135643425
78,3.1424599,3.770461656072948
79,4.251544,4.175556803037273
80,4.1179724,4.131288123969563
81,4.055719,4.207469155571543
82,3.558399,3.818883710746646
83,2.7184408,2.6054236190858284
84,4.236627,4.1908177920278815
85,4.2016125,4.182265496187461
86,4.1219273,4.041832729454431
87,3.0932617,3.382027154344416
88,4.232644,4.2476747342867505
89,4.1206007,4.1693941131909895
90,2.6337519,2.6165395552921757
91,3.888979,3.920657044180362
92,4.4372845,4.395942727903019
93,2.8146672,2.553490335586012
94,2.6358414,2.5304469905554443
95,4.1304207,4.157956475169416
96,2.6173587,2.544414366773774
97,2.620772,2.450998815486587
98,4.1309133,4.141552339678755
99,4.0415,4.005975544250564
100,3.9906077,3.999507604580939
101,4.1856947,4.218483716344877
102,4.22464,4.1601016756413935
103,4.2161417,4.247123784910752
104,4.2621346,4.211184137182117
105,3.9562364,3.7852847338570417
106,4.157269,4.1125688435346985
107,2.6356115,2.6962735992078715
108,4.2361236,4.167231190049363
109,4.191224,4.201352919646002
110,4.2967405,4.191042447256331
111,4.1997004,4.173133118797058
112,4.3462896,4.315684612454954
113,4.2199774,4.212516599316093
114,4.027635,3.9599361268189552
115,4.202324,4.208670153028346
116,3.9428723,4.052556158149755
117,2.7168803,2.7922318211741075
118,4.21905,4.287690144833967
119,4.159031,4.134691372917729
120,4.056031,4.0803467091208105
121,2.6962173,2.7948666803490165
122,4.24634,4.163724020980477
123,4.172854,4.175419137419409
124,4.1483154,4.222326685233504
125,4.110215,4.152631402465128
126,4.1400547,4.111801599720565
127,2.608183,2.46728401368082
128,4.228816,4.253544251514223
129,3.9981332,4.059608789789445
130,4.020669,3.957641643060224
131,4.208563,4.231540464988724
132,4.373171,4.2371263333648805
133,4.2307386,4.222526728691208
134,4.2005086,4.163394652466961
135,4.236373,4.214126952549087
136,4.351376,4.303874859607093
137,4.092328,4.096104816308435
138,3.724477,3.608417520694505
139,3.8080108,2.4936260443059814
140,4.23874,4.178183656492248
141,2.6456032,2.548611544618406
142,4.3046713,4.184842391081193
143,4.2129707,4.163834091646976
144,4.206568,4.156868516094312
145,4.063878,4.127817195594027
146,4.2289467,4.2404696685752565
147,2.6818156,2.5890888578023565
148,4.2157135,4.262869942812646
149,4.284347,4.243494892970131
150,4.3661833,4.388792380645602
151,4.204213,4.229322691184361
152,4.2714667,4.3261293404088255
153,2.9035416,3.0494119215804956
154,4.1856284,4.175764038452147
155,4.0887175,4.173838699752337
156,4.174573,4.205756145759239
157,4.4229107,4.308701565556191
158,3.8498187,3.7125050927801624
159,4.1146526,4.175643511001662
160,4.098755,3.9437749129320965
161,2.5855238,2.614603969857729
162,4.1566534,4.109664775097975
163,4.3807645,4.204616927821584
164,2.9994187,3.946972341514618
165,2.888949,2.9518763516580444
166,4.3079596,4.331004514273398
167,4.1938024,4.108802625129781
168,4.2205477,4.273790386192415
169,4.2738233,4.1766131007523235
170,4.2445974,4.249611107595964
171,4.0417356,4.132671578488517
172,4.1351185,4.1179815651420375
173,4.029019,4.126209301207165
174,3.6541586,3.6045921568640793
175,4.2840214,4.2733853269852204
176,4.1699476,4.160209732602449
177,4.348559,4.257993506946096
178,4.1504908,4.188409327032701
179,4.0933743,4.194475740668539
180,4.194582,4.178091116397238
181,4.1940365,4.147264129572491
182,4.070533,4.158517911649897
183,4.117456,4.144653629134185
184,3.0070353,2.6473573145906393
185,4.088957,4.168613105721598
186,3.67381,3.9461890170012466
187,3.945379,4.002931634933942
188,4.0122347,3.8732550618235235
189,4.2290716,4.219009545470972
190,4.1878014,4.1649642260029545
191,4.1695237,4.199143718003236
192,3.7021732,3.769202141452179
193,4.1981506,4.216199459707613
194,2.5672371,2.7041294402145652
195,4.176811,4.183304267341991
196,4.0954537,4.165773239875415
197,4.244437,4.252063705935337
198,4.361722,4.26236501622855
199,4.203452,4.165155155903476
200,3.4233937,3.8546923334607506
201,3.9950578,3.9697181962297527
202,4.151389,4.10016322266542
203,4.2274156,4.1972320829768694
204,4.2987375,4.184905802598323
205,4.070633,4.111347014148934
206,2.5484207,2.5271065823062835
207,4.2428794,4.125405308483543
208,4.041847,4.240437287498585
209,4.316021,4.1951722218582175
210,4.2357416,4.187199564763318
211,2.6662173,2.6478181850362272
212,4.1537313,3.651068163633743
213,4.188375,4.207539150022074
214,4.0892267,3.759657104057315
215,4.244253,4.149587933832296
216,4.2454405,4.221643666709296
217,4.2575493,4.221861085608453
218,4.175605,4.045288721648663
219,4.2066226,4.1965012936642845
220,3.9100204,3.818279056475205
221,4.2665925,4.1989236313309055
222,4.227331,4.152455307851374
223,4.131032,4.214601104369292
224,4.094247,4.152867778867766
225,4.2579727,4.2046603645565535
226,4.2979903,4.199267163750422
227,4.155777,4.124602547905293
228,4.2082176,4.228726319781106
229,4.1808033,4.142337189953292
230,4.2006693,4.238559359655215
231,4.17478,4.239037293148419
232,4.1194515,4.136553405437887
233,4.1947565,4.155519096355838
234,4.044589,4.0259825562622495
235,4.2430983,4.15868538342491
236,4.1078153,4.219866161058928
237,2.677996,2.595617881605929
238,4.3187137,4.294923942417228
239,4.3836126,4.394397951712747
240,4.289501,4.2864298232671585
241,4.2163973,4.202731527325493
