,Predicted fluorescence,Observed fluorescence
0,4.005760192871094,4.203794736080403
1,4.094076156616211,4.0425014771769145
2,4.098321914672852,4.140608562489192
3,4.063620567321777,4.142994619541249
4,4.244992256164551,4.224615319009131
5,4.044788837432861,4.051472098328447
6,3.7299270629882812,4.09485930320693
7,2.963261365890503,2.285459792458761
8,3.762096643447876,3.9185027523963587
9,4.292848587036133,4.206409349904075
10,4.235282897949219,4.18515976065758
11,4.2520599365234375,4.222199115018355
12,4.247838973999023,4.219170277573525
13,4.255603790283203,4.259835903824731
14,4.199355125427246,4.216745042537972
15,4.169773578643799,4.137355510110392
16,4.2376508712768555,4.247206665042297
17,4.270732879638672,4.302020422628613
18,4.153872489929199,4.148250010267203
19,4.35756254196167,4.266698473599086
20,4.264090538024902,4.171016412058396
21,4.196372985839844,4.1140550055487575
22,4.20208215713501,4.286676214535351
23,4.053539752960205,4.169838159858947
24,4.2067341804504395,4.316463223171607
25,4.179365158081055,4.251438183925307
26,4.116515159606934,4.371048123543369
27,4.306009769439697,4.385921732033742
28,4.137807369232178,4.1477759987492515
29,4.127190589904785,4.126879041803332
30,4.1809611320495605,4.260221745828863
31,4.101464748382568,4.117794017491495
32,4.1266021728515625,4.1407065405459385
33,2.479949712753296,2.338810310438302
34,4.102262496948242,4.042813075257645
35,4.122126579284668,4.125546349464699
36,4.086933612823486,4.117976487407705
37,4.130602836608887,4.122593200895575
38,4.01442813873291,4.2066943160744295
39,4.134826183319092,4.073047866569012
40,4.151206016540527,4.086702357991168
41,4.204893112182617,4.186333779871952
42,4.183990001678467,4.144604411787141
43,4.21842098236084,4.2058565660344875
44,4.187404632568359,4.133384568671396
45,4.11407470703125,4.062495299769379
46,4.227996826171875,4.174607250258611
47,4.178947925567627,4.104430076888042
48,3.98934006690979,4.079983806633598
49,4.136667728424072,4.147476270614598
50,4.104586124420166,4.18336858881658
51,4.198803424835205,4.200316624804765
52,4.24204158782959,4.241310316560302
53,4.168942451477051,4.201220764352968
54,4.144110679626465,4.163780666250499
55,4.236352920532227,4.2087208371747815
56,4.176567077636719,4.192207861146854
57,4.047494888305664,4.199468609297881
58,4.184886932373047,4.183881858010376
59,4.1646318435668945,4.14932506231811
60,4.115936279296875,4.04153532319948
61,4.2256269454956055,4.2066717874065445
62,4.337899684906006,4.311977188067251
63,4.189679145812988,4.223586839055829
64,4.221668243408203,4.221622600115977
65,3.9428396224975586,4.079982512575609
66,3.6406261920928955,3.9882998117845987
67,4.190725326538086,4.13057597305057
68,4.144010543823242,4.261045527242895
69,4.092409133911133,4.15951131384911
70,4.281205177307129,4.270911197226027
71,4.184298515319824,4.265690806122161
72,4.274443626403809,4.252406072617172
73,4.246879577636719,4.221752151661834
74,3.4539825916290283,3.5163998641576546
75,2.831301212310791,2.6433762270465064
76,4.203816890716553,4.186781823148234
77,4.258942604064941,4.250823041717472
78,4.193952560424805,4.29915357529445
79,4.261910915374756,4.3818028103380655
80,4.103124618530273,4.219907096752879
81,4.058916091918945,4.201375529187469
82,4.0527191162109375,4.199160715712087
83,4.130831718444824,4.1632381402768495
84,4.045989036560059,4.2177935741684776
85,4.22664737701416,4.167659092081346
86,4.130935192108154,4.212310164232813
87,4.245666980743408,4.303513020408873
88,4.246315002441406,4.207244456903373
89,4.209595680236816,4.160564023112606
90,4.096352577209473,4.097901146319429
91,3.9941163063049316,4.227944489014452
92,4.179492950439453,4.159484234564115
93,4.117792129516602,4.102211878251336
94,4.096323013305664,4.1850093893408635
95,3.4985055923461914,3.773106525426374
96,3.5992767810821533,3.6420793131229896
97,3.903648853302002,4.099842385728693
98,3.0437161922454834,2.4277963904610433
99,4.24599552154541,4.307794154395737
100,3.9439749717712402,4.064056285232432
101,4.042938232421875,4.105818533482179
102,4.223039150238037,4.24446168299953
103,3.984917640686035,4.096169629029052
104,4.057888031005859,4.018325357882006
105,4.249637126922607,4.207974783413518
106,2.8274431228637695,2.66244738212163
107,4.035769939422607,4.098134180396114
108,4.117150783538818,4.181102148961269
109,4.246798038482666,4.16793759549984
110,4.193907260894775,4.208973502711265
111,4.044565200805664,4.191553645477577
112,3.631728172302246,3.8197811399882857
113,3.5791640281677246,3.5060747554615985
114,3.447605848312378,2.6646647563733934
115,4.1815385818481445,4.16450463380659
116,4.144574165344238,4.14691182555569
117,4.16183614730835,4.123183940082078
118,4.207898139953613,4.180916164894908
119,4.288498878479004,4.276385340744455
