,Predicted fluorescence,Observed fluorescence
0,3.887567,3.898750262849987
1,3.8737977,3.8717147970633055
2,2.3830032,2.680501407490265
3,3.9824972,3.9452826907456178
4,3.8955889,3.970206666544819
5,3.688518,3.85214692525671
6,3.4405036,3.491694346892418
7,3.5066457,3.492027805695698
8,3.8519547,3.9601517058261275
9,3.9907365,4.0661446314972025
10,3.606357,3.805259219408509
11,3.9233315,3.913767185310407
12,3.1454854,2.954476318734538
13,3.852149,3.981782076657312
14,3.8620536,3.990355116304073
15,3.9175744,3.949135818816876
16,2.4839926,2.3749888601062246
17,3.8323216,3.8684853295585135
18,3.9164004,4.019196494548966
19,3.9025006,3.9476885026389468
20,3.9475243,3.9077063070944735
21,3.9145856,3.8802563032770534
22,3.8867276,3.8557772613585133
23,3.7485633,3.860713672172832
24,3.999205,3.922636234323893
25,2.6376429,2.3805045297066814
26,3.7137125,3.7389854229927355
27,3.6326098,3.458803697674199
28,3.8476338,4.006064493075873
29,3.9545603,4.143938951319691
30,3.9326935,3.9856625060759545
31,3.763517,3.7615593308207336
32,3.2725544,3.3833093293011083
33,2.7052417,2.709013275305222
34,3.659254,3.622446678368156
35,3.6706338,3.616509565087247
36,3.5966763,3.638621630870012
37,3.5752962,3.6351203772502654
38,3.2505722,3.5209107273522706
39,3.4478552,3.458236288859897
40,3.2996774,3.165393101071408
41,3.5346918,3.523420820045872
42,3.4816303,3.621898427482371
43,3.5548615,3.7460242987295946
44,3.5811663,3.622026147108717
45,3.5873034,3.5661357056289704
46,3.6847668,3.6447783696273146
47,3.395603,3.2519598296426198
48,3.8997355,3.8852790387956606
49,3.9294205,3.920626802698067
50,3.9482274,4.043355140884995
51,3.9332104,3.9430306414027925
52,4.0039234,4.002010352360418
53,3.4653473,3.348297487197166
54,2.5238721,2.3812201402721325
55,4.0060573,3.98638577331611
56,3.7652512,3.154584365456329
57,3.8343182,3.9641553612775624
58,3.980692,4.085475235574332
59,3.9755173,3.9610905588648135
60,3.8847206,3.951113789482545
61,3.999968,3.9731704807057406
62,4.0202665,3.99365374680946
63,3.9348745,3.99567512257953
64,4.1425204,4.2431168453827235
65,3.981392,3.9710524832192373
66,3.912106,4.056144823114583
67,3.9582016,3.9390293925768107
68,3.6870198,3.692332300151934
69,2.45751,2.307568933293345
70,3.5073252,3.4507938319617097
71,3.8847446,3.7152118699403167
72,3.8146703,3.84285893092141
73,3.6692276,3.4609268178405097
74,3.798936,3.864271948720982
75,3.6048496,3.554038298696119
76,4.0204167,4.153613450847518
77,2.4859893,2.2909517075297563
78,2.3890233,2.416806442525135
79,3.9825277,4.005692142001941
80,3.9279225,3.960639009654714
81,4.0008,3.942190628083958
82,3.7622218,3.9633416611024206
83,3.5593019,3.138467483899003
84,3.912372,3.6357747236598987
85,3.883226,3.951702511623426
86,3.845884,3.946954445151479
87,3.826094,3.8557563154244985
88,3.924458,3.956494675126398
89,3.8759644,3.9034246373828
90,3.855647,3.8988985582062314
91,2.3876858,2.192804784616294
92,3.815949,3.9276566869684837
93,4.04605,3.9467180262346964
94,3.8705106,3.8838524156335352
95,3.8833194,3.9062141364032144
96,3.8434722,3.884306522307938
97,2.6042953,2.6589858380055427
98,3.6412048,3.383677139005134
99,3.4621625,3.445548947311572
100,3.7823458,3.8123536185585496
101,2.5941267,2.759100498055042
102,3.8235831,3.8377682592496716
103,2.5541556,3.1792357688497255
104,2.4057858,2.2309621268949376
105,3.4217265,3.3864232272305195
106,2.8658614,2.5300876257214573
107,3.663261,3.659153700546011
