gate	mean	lower_limit	upper_limit
ppluGFP_P3A	595	0	1190
ppluGFP_P4A	1836.5	1193	2480
ppluGFP_P5A	3799	2487	5111
ppluGFP_P6A	7899.5	5117	10682
ppluGFP_P7A	12430	10750	14110
ppluGFP_P8A	16696.5	14182	19211
ppluGFP_P9A	22248.5	19212	25285
ppluGFP_P10A	29503	25289	33718
ppluGFP_P3B	584	0	1168
ppluGFP_P4B	1736.5	1176	2297
ppluGFP_P5B	3318	2304	4332
ppluGFP_P6B	6004.5	4339	7670
ppluGFP_P7B	10059	7670	12448
ppluGFP_P8B	14883	12450	17316
ppluGFP_P9B	20720	17320	24120
ppluGFP_P10B	28155	24133	32177
