gate	mean	lower_limit	upper_limit
cgreGFP_P3A	595	0	1190
cgreGFP_P4A	1838.5	1192	2485
cgreGFP_P5A	3794	2488	5100
cgreGFP_P6A	7891.5	5117	10666
cgreGFP_P7A	14499	10701	18297
cgreGFP_P8A	22114	18304	25924
cgreGFP_P9A	31750.5	25928	37573
cgreGFP_P10A	43876	37608	50144
cgreGFP_P3B	584	0	1168
cgreGFP_P4B	1937.5	1172	2703
cgreGFP_P5B	4407.5	2703	6112
cgreGFP_P6B	9122	6145	12099
cgreGFP_P7B	15601	12134	19068
cgreGFP_P8B	22984.5	19116	26853
cgreGFP_P9B	31718	26722	36714
cgreGFP_P10B	42871.5	36747	48996
