gate	mean	lower_limit	upper_limit
amacGFP_P3A	429.5	0	859
amacGFP_P4A	1208	860	1556
amacGFP_P5A	2182.5	1556	2809
amacGFP_P6A	3561	2805	4317
amacGFP_P7A	5524.5	4312	6737
amacGFP_P8A	8151	6781	9521
amacGFP_P9A	11941.5	9560	14323
amacGFP_P10A	16874	14374	19374
amacGFP_P3B	468	0	936
amacGFP_P4B	1261.5	937	1586
amacGFP_P5B	2254.5	1587	2922
amacGFP_P6B	3743.5	2909	4578
amacGFP_P7B	6291.5	4557	8026
amacGFP_P8B	9796	8047	11545
amacGFP_P9B	13816.5	11546	16087
amacGFP_P10B	18791	16291	21291
