,round_epochs,val_loss,val_mae,loss,mae,neurons_in_1st_h_layer,neurons_in_2nd_h_layer
0,10,0.046704581007658626,0.1471979171037674,0.16999482368257512,0.31902554631233215,50,6
1,10,0.35040787226877584,0.49898067116737366,0.5314929985180857,0.5314905643463135,10,5
2,10,0.3474503811945161,0.4847770631313324,0.466746470602096,0.511536717414856,5,10
3,10,0.04794177764993103,0.14096780121326447,0.09063573093990443,0.2251933068037033,5,50
4,10,0.04127915951928464,0.13247644901275635,0.06890267309822444,0.19191955029964447,10,100
5,10,0.3499884639955963,0.49738040566444397,0.5522632549325301,0.5393401384353638,20,6
6,10,0.08239468261122511,0.17733533680438995,0.20867330502207676,0.34876176714897156,2,8
7,10,0.055663470791996676,0.17396612465381622,0.07382720087430343,0.1946977972984314,4,200
8,10,0.35808513890723015,0.5208209156990051,0.37613166852121904,0.5526544451713562,2,1
9,10,0.35395912876468877,0.5103948712348938,0.5253200646071579,0.5280250310897827,6,9
10,10,0.34636896646572524,0.4744575619697571,0.4434735919353106,0.5043522119522095,8,10
11,10,0.04355831950286515,0.1145281046628952,0.1197971709060305,0.2656579911708832,20,20
12,10,0.08095313580500152,0.21745765209197998,0.19765820044882088,0.3409323990345001,10,10
13,10,0.16426130862009283,0.3012080490589142,0.40760094662653207,0.4734390079975128,2,7
14,10,0.35444702330732414,0.5119374394416809,0.5899981236839528,0.5454186797142029,10,2
15,10,0.04675067414377893,0.1308550387620926,0.09115357797805486,0.22796304523944855,7,50
16,10,0.3481772977169838,0.4891146421432495,0.4774187040480519,0.5134139657020569,10,8
17,10,0.07278640083409875,0.17062079906463623,0.25989972084045765,0.39637550711631775,4,10
18,10,0.350609475164507,0.4997302293777466,0.5008711088661767,0.5227746963500977,200,4
