,round_epochs,val_loss,val_mae,loss,mae,neurons_in_1st_h_layer,neurons_in_2nd_h_layer
0,10,0.0850479228523435,0.17418272793293,0.12382090746011282,0.24344943463802338,100,10
1,10,0.12463771360738589,0.20168831944465637,0.16691228063659613,0.2877900302410126,4,4
2,10,0.14413505059589585,0.27770358324050903,0.27173923834576785,0.3728538155555725,1,5
3,10,0.09596992603318669,0.2006392627954483,0.14946225543319364,0.2721938490867615,9,7
4,10,0.1367228123982755,0.27944275736808777,0.31928316470362966,0.3462524116039276,2,1
5,10,1.1245577138846172,1.028698205947876,1.1188961283299805,1.0253891944885254,4,2
6,10,0.09475570446272705,0.19265757501125336,0.13989534705551707,0.26468899846076965,10,9
7,10,0.0947046180070311,0.18270686268806458,0.12985302992817005,0.24946576356887817,100,10
8,10,0.09031161100369617,0.1844576895236969,0.13141729876145958,0.25803256034851074,7,9
9,10,1.1244722625267156,1.0308687686920166,1.1382761977651632,1.028074860572815,7,6
10,10,0.11569629136242789,0.2255507856607437,0.1834598132671933,0.298199862241745,6,4
11,10,0.0900613487186059,0.18553254008293152,0.12828912649532626,0.2522982358932495,10,9
12,10,1.124532358392599,1.031554937362671,1.1289409331915177,1.0274361371994019,10,1
13,10,0.22574768559096872,0.29245513677597046,0.4859188920113677,0.5531813502311707,4,7
14,10,0.12193387042092456,0.19567613303661346,0.13248552632974303,0.2559528052806854,20,7
15,10,0.0856767877079867,0.16964048147201538,0.09656169986843183,0.2073892503976822,100,100
16,10,1.1244569960155006,1.03041672706604,1.1308479613357894,1.0288504362106323,5,3
17,10,0.12725709237170543,0.2033461034297943,0.13267172412548406,0.2597108483314514,8,8
18,10,0.1232311671995398,0.22893273830413818,0.09904444669809595,0.21335428953170776,9,100
