,time,gene,well,fluorescence,fluorescence_normed
108,5400,cgre,D1,8709.0,0.6819356354240075
109,5450,cgre,D1,8674.0,0.6791950512880746
110,5500,cgre,D1,8642.0,0.676689374363793
111,5550,cgre,D1,8747.0,0.6849111267715919
112,5600,cgre,D1,8694.0,0.6807610993657506
113,5650,cgre,D1,8910.0,0.6976744186046512
114,5700,cgre,D1,8904.0,0.6972046041813483
115,5750,cgre,D1,8868.0,0.6943857176415316
116,5800,cgre,D1,8691.0,0.6805261921540992
117,5850,cgre,D1,8819.0,0.6905488998512255
118,5900,cgre,D1,8851.0,0.693054576775507
119,5950,cgre,D1,9055.0,0.7090282671678021
120,6000,cgre,D1,9094.0,0.7120820609192702
121,6050,cgre,D1,8856.0,0.693446088794926
122,6100,cgre,D1,9153.0,0.7167019027484144
123,6150,cgre,D1,8948.0,0.7006499099522355
124,6200,cgre,D1,9194.0,0.7199123013076502
125,6250,cgre,D1,9156.0,0.7169368099600658
126,6300,cgre,D1,9208.0,0.7210085349620233
127,6350,cgre,D1,9210.0,0.7211651397697909
128,6400,cgre,D1,9065.0,0.70981129120664
129,6450,cgre,D1,9195.0,0.7199906037115339
130,6500,cgre,D1,9106.0,0.7130216897658758
131,6550,cgre,D1,9210.0,0.7211651397697909
132,6600,cgre,D1,9341.0,0.7314227546785687
133,6650,cgre,D1,9359.0,0.732832197948477
134,6700,cgre,D1,9388.0,0.7351029676611072
135,6750,cgre,D1,9594.0,0.7512332628611699
136,6800,cgre,D1,9354.0,0.732440685929058
137,6850,cgre,D1,9503.0,0.7441077441077442
138,6900,cgre,D1,9436.0,0.7388614830475295
139,6950,cgre,D1,9550.0,0.7477879570902827
140,7000,cgre,D1,9283.0,0.7268812152533083
141,7050,cgre,D1,9430.0,0.7383916686242268
142,7100,cgre,D1,9711.0,0.7603946441155743
143,7150,cgre,D1,9740.0,0.7626654138282045
144,7200,cgre,D1,9683.0,0.758202176806828
145,7250,cgre,D1,9525.0,0.7458303969931876
146,7300,cgre,D1,9552.0,0.7479445618980503
147,7350,cgre,D1,9623.0,0.7535040325738
148,7400,cgre,D1,9412.0,0.7369822253543183
149,7450,cgre,D1,9631.0,0.7541304518048704
150,7500,cgre,D1,9456.0,0.7404275311252055
151,7550,cgre,D1,9672.0,0.7573408503641061
152,7600,cgre,D1,9895.0,0.7748022864301934
153,7650,cgre,D1,9772.0,0.7651710907524861
154,7700,cgre,D1,9534.0,0.7465351186281419
155,7750,cgre,D1,9711.0,0.7603946441155743
156,7800,cgre,D1,9644.0,0.7551483830553598
157,7850,cgre,D1,9784.0,0.7661107195990917
158,7900,cgre,D1,9751.0,0.7635267402709263
159,7950,cgre,D1,9839.0,0.7704173518127007
160,8000,cgre,D1,9929.0,0.7774645681622426
161,8050,cgre,D1,9743.0,0.7629003210398559
162,8100,cgre,D1,9821.0,0.7690079085427922
163,8150,cgre,D1,9848.0,0.7711220734476548
164,8200,cgre,D1,10028.0,0.7852165061467387
165,8250,cgre,D1,9962.0,0.780048547490408
166,8300,cgre,D1,9899.0,0.7751154960457286
167,8350,cgre,D1,9967.0,0.780440059509827
168,8400,cgre,D1,10153.0,0.7950043066322137
169,8450,cgre,D1,10022.0,0.7847466917234359
170,8500,cgre,D1,10284.0,0.8052619215409913
171,8550,cgre,D1,10348.0,0.8102732753895545
172,8600,cgre,D1,9825.0,0.7693211181583275
173,8650,cgre,D1,10083.0,0.7895231383603477
