temperature,gene,gfp_conc_mgml,buffer,unfolding_ratio,unfolding_ratio_deriv,unfolding_scatter,unfolding_scatter_deriv,refolding_ratio,refolding_ratio_deriv,refolding_scatter,refolding_scatter_deriv
90.641,amacV14L,1,im25mM_h2o,0.621,0.001742,202.633,-0.913755,0.652,0.001038,184.463,-0.044923
90.695,amacV14L,1,im25mM_h2o,0.623,0.001757,202.756,-0.912347,0.653,0.001039,184.433,-0.045382
90.749,amacV14L,1,im25mM_h2o,0.622,0.001772,202.746,-0.911106,0.653,0.001039,184.245,-0.045915
90.803,amacV14L,1,im25mM_h2o,0.621,0.001786,202.416,-0.910035,0.652,0.001039,184.499,-0.046521
90.857,amacV14L,1,im25mM_h2o,0.621,0.001801,202.207,-0.909134,0.65,0.001038,184.441,-0.047197
90.911,amacV14L,1,im25mM_h2o,0.621,0.001814,202.11,-0.908404,0.651,0.001038,184.455,-0.047941
90.965,amacV14L,1,im25mM_h2o,0.62,0.001828,202.266,-0.907841,0.652,0.001038,184.493,-0.048747
91.019,amacV14L,1,im25mM_h2o,0.624,0.001841,202.123,-0.907439,0.652,0.001037,184.413,-0.04961
91.072,amacV14L,1,im25mM_h2o,0.625,0.001853,202.475,-0.907192,0.654,0.001037,184.605,-0.050523
91.126,amacV14L,1,im25mM_h2o,0.622,0.001866,202.43,-0.907091,0.655,0.001036,184.448,-0.051481
91.18,amacV14L,1,im25mM_h2o,0.621,0.001878,202.331,-0.907124,0.653,0.001035,184.39,-0.052476
91.234,amacV14L,1,im25mM_h2o,0.622,0.001889,202.329,-0.907272,0.652,0.001034,184.539,-0.0535
91.288,amacV14L,1,im25mM_h2o,0.622,0.001901,202.174,-0.907513,0.654,0.001033,184.574,-0.054547
91.342,amacV14L,1,im25mM_h2o,0.622,0.001912,202.173,-0.907818,0.652,0.001031,184.493,-0.05561
91.396,amacV14L,1,im25mM_h2o,0.622,0.001923,202.058,-0.908161,0.652,0.00103,184.671,-0.056679
91.45,amacV14L,1,im25mM_h2o,0.624,0.001934,201.835,-0.908514,0.652,0.001028,184.524,-0.057749
91.504,amacV14L,1,im25mM_h2o,0.624,0.001944,201.853,-0.90885,0.654,0.001026,184.444,-0.058811
91.558,amacV14L,1,im25mM_h2o,0.627,0.001955,201.815,-0.909141,0.654,0.001024,184.407,-0.059858
91.612,amacV14L,1,im25mM_h2o,0.625,0.001965,201.57,-0.909358,0.656,0.001022,184.275,-0.060882
91.666,amacV14L,1,im25mM_h2o,0.622,0.001975,201.967,-0.909473,0.654,0.00102,184.505,-0.061877
91.72,amacV14L,1,im25mM_h2o,0.621,0.001985,201.669,-0.909456,0.651,0.001018,184.512,-0.062835
91.774,amacV14L,1,im25mM_h2o,0.624,0.001994,201.56,-0.90928,0.653,0.001015,184.455,-0.063748
91.827,amacV14L,1,im25mM_h2o,0.624,0.002004,201.6,-0.908918,0.655,0.001013,184.477,-0.06461
91.881,amacV14L,1,im25mM_h2o,0.623,0.002013,201.364,-0.908343,0.654,0.00101,184.464,-0.065412
91.935,amacV14L,1,im25mM_h2o,0.623,0.002022,201.485,-0.907534,0.654,0.001007,184.615,-0.066149
91.989,amacV14L,1,im25mM_h2o,0.623,0.002031,201.539,-0.906471,0.654,0.001004,184.739,-0.066816
92.043,amacV14L,1,im25mM_h2o,0.625,0.00204,201.503,-0.905139,0.654,0.001001,184.692,-0.067408
92.097,amacV14L,1,im25mM_h2o,0.623,0.002049,201.542,-0.903529,0.653,0.000998,184.513,-0.067922
92.151,amacV14L,1,im25mM_h2o,0.624,0.002057,201.285,-0.90164,0.653,0.000995,184.489,-0.068354
92.205,amacV14L,1,im25mM_h2o,0.622,0.002066,201.185,-0.899472,0.655,0.000991,184.395,-0.068701
92.259,amacV14L,1,im25mM_h2o,0.623,0.002074,201.256,-0.897029,0.655,0.000988,184.383,-0.068962
92.313,amacV14L,1,im25mM_h2o,0.623,0.002083,201.093,-0.894321,0.653,0.000984,184.318,-0.069132
92.367,amacV14L,1,im25mM_h2o,0.624,0.002091,201.089,-0.891358,0.655,0.00098,184.126,-0.069212
92.421,amacV14L,1,im25mM_h2o,0.626,0.002099,201.261,-0.888159,0.656,0.000976,184.26,-0.069198
92.475,amacV14L,1,im25mM_h2o,0.627,0.002107,201.274,-0.88474,0.656,0.000972,184.249,-0.069088
92.528,amacV14L,1,im25mM_h2o,0.627,0.002115,200.969,-0.881124,0.655,0.000968,184.144,-0.068881
92.582,amacV14L,1,im25mM_h2o,0.626,0.002122,200.897,-0.877337,0.656,0.000963,184.19,-0.068575
92.636,amacV14L,1,im25mM_h2o,0.623,0.00213,200.91,-0.873409,0.654,0.000959,184.037,-0.068168
92.69,amacV14L,1,im25mM_h2o,0.624,0.002138,200.802,-0.869372,0.653,0.000954,184.24,-0.067657
92.744,amacV14L,1,im25mM_h2o,0.626,0.002145,200.813,-0.865264,0.654,0.000949,184.362,-0.067042
92.798,amacV14L,1,im25mM_h2o,0.625,0.002152,200.856,-0.861121,0.651,0.000944,184.333,-0.066322
92.852,amacV14L,1,im25mM_h2o,0.624,0.00216,200.747,-0.856978,0.653,0.000939,184.273,-0.065497
92.906,amacV14L,1,im25mM_h2o,0.625,0.002167,200.741,-0.852871,0.655,0.000933,184.262,-0.064566
92.96,amacV14L,1,im25mM_h2o,0.625,0.002174,200.86,-0.848836,0.654,0.000928,184.023,-0.063528
93.014,amacV14L,1,im25mM_h2o,0.627,0.002181,200.696,-0.844907,0.653,0.000922,184.355,-0.062382
93.068,amacV14L,1,im25mM_h2o,0.627,0.002188,200.643,-0.841121,0.653,0.000917,184.343,-0.061129
93.122,amacV14L,1,im25mM_h2o,0.627,0.002195,200.498,-0.837509,0.652,0.000911,184.277,-0.059767
93.176,amacV14L,1,im25mM_h2o,0.626,0.002202,200.261,-0.834102,0.658,0.000906,184.37,-0.058299
93.229,amacV14L,1,im25mM_h2o,0.624,0.002209,200.544,-0.830927,0.655,0.0009,184.375,-0.056727
93.283,amacV14L,1,im25mM_h2o,0.626,0.002215,200.398,-0.828005,0.656,0.000894,183.98,-0.055054
93.337,amacV14L,1,im25mM_h2o,0.627,0.002222,200.202,-0.825355,0.655,0.000888,184.114,-0.053283
93.391,amacV14L,1,im25mM_h2o,0.627,0.002228,200.147,-0.822986,0.654,0.000883,183.995,-0.051421
93.445,amacV14L,1,im25mM_h2o,0.63,0.002235,200.057,-0.820904,0.655,0.000877,184.105,-0.049474
93.499,amacV14L,1,im25mM_h2o,0.629,0.002241,200.008,-0.819108,0.656,0.000871,184.242,-0.047448
93.553,amacV14L,1,im25mM_h2o,0.627,0.002248,200.102,-0.81759,0.655,0.000866,184.343,-0.045352
93.607,amacV14L,1,im25mM_h2o,0.625,0.002254,199.945,-0.816337,0.657,0.00086,184.149,-0.043193
93.661,amacV14L,1,im25mM_h2o,0.628,0.00226,199.914,-0.815331,0.656,0.000855,184.121,-0.040979
93.715,amacV14L,1,im25mM_h2o,0.627,0.002266,199.94,-0.814553,0.655,0.000849,184.215,-0.03872
93.769,amacV14L,1,im25mM_h2o,0.627,0.002272,199.891,-0.813981,0.656,0.000844,184.066,-0.036424
93.823,amacV14L,1,im25mM_h2o,0.627,0.002278,199.756,-0.813595,0.654,0.000839,183.927,-0.0341
93.877,amacV14L,1,im25mM_h2o,0.628,0.002284,199.546,-0.813374,0.656,0.000834,184.052,-0.031755
93.93,amacV14L,1,im25mM_h2o,0.629,0.00229,199.536,-0.813302,0.654,0.00083,184.355,-0.029398
93.984,amacV14L,1,im25mM_h2o,0.628,0.002296,199.542,-0.813364,0.656,0.000825,184.244,-0.027036
94.038,amacV14L,1,im25mM_h2o,0.629,0.002301,199.566,-0.813551,0.658,0.000821,184.244,-0.024679
94.092,amacV14L,1,im25mM_h2o,0.629,0.002307,199.626,-0.813855,0.655,0.000816,184.249,-0.022338
94.146,amacV14L,1,im25mM_h2o,0.63,0.002312,199.608,-0.814268,0.656,0.000812,183.992,-0.020023
94.2,amacV14L,1,im25mM_h2o,0.628,0.002318,199.614,-0.814784,0.656,0.000809,184.166,-0.017745
94.254,amacV14L,1,im25mM_h2o,0.627,0.002323,199.736,-0.815396,0.657,0.000805,184.243,-0.015515
94.308,amacV14L,1,im25mM_h2o,0.629,0.002328,199.443,-0.816101,0.655,0.000802,184.169,-0.013344
94.362,amacV14L,1,im25mM_h2o,0.628,0.002333,199.201,-0.816897,0.654,0.000798,183.997,-0.011244
94.416,amacV14L,1,im25mM_h2o,0.631,0.002338,199.478,-0.817785,0.656,0.000795,184.039,-0.009224
94.47,amacV14L,1,im25mM_h2o,0.629,0.002343,199.459,-0.818766,0.657,0.000792,183.883,-0.007294
94.524,amacV14L,1,im25mM_h2o,0.631,0.002347,199.251,-0.819837,0.654,0.00079,184.094,-0.005462
94.578,amacV14L,1,im25mM_h2o,0.631,0.002352,199.419,-0.820992,0.656,0.000787,184.295,-0.003735
94.632,amacV14L,1,im25mM_h2o,0.627,0.002356,199.496,-0.822219,0.655,0.000785,184.28,-0.002119
94.685,amacV14L,1,im25mM_h2o,0.629,0.002361,199.594,-0.823501,0.654,0.000782,184.122,-0.000616
94.739,amacV14L,1,im25mM_h2o,0.631,0.002365,199.169,-0.824819,0.653,0.00078,184.277,0.00077
94.793,amacV14L,1,im25mM_h2o,0.63,0.002369,198.805,-0.826153,0.657,0.000778,184.297,0.002039
94.847,amacV14L,1,im25mM_h2o,0.629,0.002372,198.772,-0.82748,0.656,0.000776,184.297,0.00319
94.901,amacV14L,1,im25mM_h2o,0.63,0.002376,198.889,-0.828781,0.656,0.000774,184.272,0.004222
94.955,amacV14L,1,im25mM_h2o,0.631,0.00238,199.061,-0.830035,0.657,0.000773,184.313,0.005137
95.009,amacV14L,1,im25mM_h2o,0.632,0.002383,199.168,-0.831227,0.655,0.000771,184.198,0.005935
95.063,amacV14L,1,im25mM_h2o,0.63,0.002386,198.896,-0.832345,0.655,0.00077,184.153,0.006619
95.117,amacV14L,1,im25mM_h2o,0.631,0.002389,199.122,-0.833381,0.658,0.000769,184.204,0.007189
95.171,amacV14L,1,im25mM_h2o,0.633,0.002392,198.99,-0.834334,0.657,0.000767,184.167,0.007651
95.225,amacV14L,1,im25mM_h2o,0.632,0.002394,199,-0.835208,0.659,0.000766,184.079,0.008006
95.279,amacV14L,1,im25mM_h2o,0.635,0.002397,199.017,-0.836013,0.658,0.000765,184.286,0.008259
95.333,amacV14L,1,im25mM_h2o,0.631,0.002399,199.015,-0.83676,0.655,0.000764,184.223,0.008412
95.386,amacV14L,1,im25mM_h2o,0.63,0.002401,198.975,-0.837471,0.657,0.000763,184.234,0.008471
95.44,amacV14L,1,im25mM_h2o,0.631,0.002403,198.894,-0.838169,0.657,0.000762,184.296,0.00844
95.494,amacV14L,1,im25mM_h2o,0.633,0.002405,198.525,-0.83888,0.657,0.000762,184.254,0.008324
95.548,amacV14L,1,im25mM_h2o,0.633,0.002406,198.671,-0.839635,0.658,0.000761,184.232,0.008128
95.602,amacV14L,1,im25mM_h2o,0.633,0.002407,198.425,-0.84046,0.658,0.00076,184.377,0.007859
95.656,amacV14L,1,im25mM_h2o,0.633,0.002408,198.345,-0.841385,0.657,0.000759,184.498,0.007522
95.71,amacV14L,1,im25mM_h2o,0.632,0.002409,198.558,-0.842438,0.656,0.000759,184.524,0.007124
95.764,amacV14L,1,im25mM_h2o,0.633,0.00241,198.499,-0.843642,0.657,0.000758,184.539,0.006672
95.818,amacV14L,1,im25mM_h2o,0.635,0.00241,198.352,-0.845018,0.657,0.000758,184.271,0.006171
95.872,amacV14L,1,im25mM_h2o,0.636,0.002411,198.406,-0.846578,0.657,0.000757,183.999,0.005629
95.926,amacV14L,1,im25mM_h2o,0.63,0.002411,198.076,-0.848331,0.657,0.000756,184.234,0.005052
95.98,amacV14L,1,im25mM_h2o,0.63,0.002411,198.124,-0.850278,0.657,0.000756,184.12,0.004448
96.034,amacV14L,1,im25mM_h2o,0.631,0.00241,198.32,-0.852417,0.659,0.000755,184.359,0.003824
96.087,amacV14L,1,im25mM_h2o,0.633,0.00241,198.066,-0.854743,0.659,0.000755,184.47,0.003187
96.141,amacV14L,1,im25mM_h2o,0.633,0.002409,198.187,-0.857248,0.656,0.000754,184.478,0.002544
96.195,amacV14L,1,im25mM_h2o,0.634,0.002408,198.179,-0.85992,0.657,0.000754,184.468,0.001901
96.249,amacV14L,1,im25mM_h2o,0.635,0.002407,198.016,-0.862743,0.657,0.000753,184.101,0.001263
96.303,amacV14L,1,im25mM_h2o,0.634,0.002406,197.904,-0.865701,0.656,0.000753,184.154,0.000637
96.357,amacV14L,1,im25mM_h2o,0.633,0.002405,197.828,-0.868767,0.656,0.000752,184.337,2.80E-05
96.411,amacV14L,1,im25mM_h2o,0.635,0.002403,197.83,-0.871914,0.657,0.000751,184.365,-0.000557
96.465,amacV14L,1,im25mM_h2o,0.635,0.002402,197.728,-0.875107,0.655,0.000751,184.42,-0.001112
96.519,amacV14L,1,im25mM_h2o,0.634,0.0024,197.738,-0.878308,0.657,0.00075,184.546,-0.00163
96.573,amacV14L,1,im25mM_h2o,0.634,0.002398,197.692,-0.881476,0.657,0.000749,184.283,-0.002104
96.627,amacV14L,1,im25mM_h2o,0.634,0.002396,197.51,-0.884567,0.658,0.000749,184.312,-0.002529
96.681,amacV14L,1,im25mM_h2o,0.633,0.002394,197.466,-0.887539,0.658,0.000748,184.115,-0.002896
96.735,amacV14L,1,im25mM_h2o,0.634,0.002392,197.47,-0.890356,0.658,0.000747,184.067,-0.0032
96.788,amacV14L,1,im25mM_h2o,0.636,0.00239,197.31,-0.89298,0.657,0.000746,184.258,-0.003435
96.842,amacV14L,1,im25mM_h2o,0.634,0.002388,197.243,-0.895382,0.657,0.000744,184.348,-0.003595
96.896,amacV14L,1,im25mM_h2o,0.635,0.002385,197.296,-0.897536,0.656,0.000743,184.459,-0.003677
96.95,amacV14L,1,im25mM_h2o,0.636,0.002383,197.279,-0.89942,0.656,0.000742,184.189,-0.003679
97.004,amacV14L,1,im25mM_h2o,0.636,0.002381,197.418,-0.901021,0.658,0.00074,184.303,-0.0036
97.058,amacV14L,1,im25mM_h2o,0.637,0.002378,197.297,-0.902331,0.657,0.000738,184.273,-0.003442
97.112,amacV14L,1,im25mM_h2o,0.638,0.002376,197.108,-0.903348,0.659,0.000736,183.79,-0.003206
97.166,amacV14L,1,im25mM_h2o,0.637,0.002374,197.226,-0.904077,0.657,0.000734,183.97,-0.002897
97.22,amacV14L,1,im25mM_h2o,0.639,0.002371,197.154,-0.904533,0.657,0.000732,184.44,-0.002519
97.274,amacV14L,1,im25mM_h2o,0.636,0.002369,197.001,-0.904736,0.655,0.00073,184.253,-0.002077
97.328,amacV14L,1,im25mM_h2o,0.638,0.002366,196.838,-0.90471,0.658,0.000727,183.957,-0.001577
97.382,amacV14L,1,im25mM_h2o,0.637,0.002364,196.743,-0.904485,0.657,0.000724,184.112,-0.001024
97.436,amacV14L,1,im25mM_h2o,0.639,0.002362,196.607,-0.904091,0.658,0.000721,184.328,-0.000426
97.49,amacV14L,1,im25mM_h2o,0.637,0.002359,196.574,-0.903555,0.657,0.000718,184.238,0.00021
97.543,amacV14L,1,im25mM_h2o,0.638,0.002357,196.589,-0.9029,0.661,0.000715,184.166,0.000876
97.597,amacV14L,1,im25mM_h2o,0.636,0.002354,196.597,-0.902145,0.659,0.000712,184.328,0.001567
