nm,value,abs,gene,temp
213,-4.87557,484.029,cgre,30
212,-4.63871,497.828,cgre,30
211,-4.09791,511.838,cgre,30
210,-3.89497,525.911,cgre,30
209,-3.3085,540.406,cgre,30
208,-2.71729,555.424,cgre,30
207,-1.88419,571.416,cgre,30
206,-1.14795,588.767,cgre,30
205,-0.723621,608.124,cgre,30
204,0.0468723,630.847,cgre,30
203,0.923993,658.893,cgre,30
202,2.45986,695.277,cgre,30
201,3.22941,743.498,cgre,30
200,3.40737,808.058,cgre,30
260,0.57342,301.022,cgre,98
259,0.599556,301.903,cgre,98
258,0.613993,302.768,cgre,98
257,0.599625,303.602,cgre,98
256,0.570594,304.423,cgre,98
255,0.541512,305.234,cgre,98
254,0.518619,306.014,cgre,98
253,0.504477,306.783,cgre,98
252,0.45777,307.528,cgre,98
251,0.436084,308.289,cgre,98
250,0.426714,309.027,cgre,98
249,0.382246,309.752,cgre,98
248,0.29146,310.503,cgre,98
247,0.276624,311.288,cgre,98
246,0.290909,312.122,cgre,98
245,0.304417,312.97,cgre,98
244,0.326943,313.863,cgre,98
243,0.213931,314.83,cgre,98
242,0.19146,315.913,cgre,98
241,0.181977,317.107,cgre,98
240,0.118971,318.407,cgre,98
239,0.0239363,319.816,cgre,98
238,-0.0113738,321.376,cgre,98
237,-0.073297,323.057,cgre,98
236,-0.102967,324.874,cgre,98
235,-0.123976,326.831,cgre,98
234,-0.150804,328.934,cgre,98
233,-0.172445,331.237,cgre,98
232,-0.27739,333.71,cgre,98
231,-0.362851,336.511,cgre,98
230,-0.52926,339.77,cgre,98
229,-0.52585,343.591,cgre,98
228,-0.459529,348.091,cgre,98
227,-0.39543,353.2,cgre,98
226,-0.351865,359.062,cgre,98
225,-0.418077,365.709,cgre,98
224,-0.455487,373.191,cgre,98
223,-0.526832,381.505,cgre,98
222,-0.569655,390.694,cgre,98
221,-0.410738,400.831,cgre,98
220,-0.422855,411.814,cgre,98
219,-0.535761,423.591,cgre,98
218,-0.735245,436.078,cgre,98
217,-0.769802,449.228,cgre,98
216,-0.759387,462.976,cgre,98
215,-0.6068,477.458,cgre,98
214,-0.439023,492.9,cgre,98
213,-0.404028,509.621,cgre,98
212,-0.634844,527.963,cgre,98
211,-1.18559,548.483,cgre,98
210,-1.1787,572.366,cgre,98
209,-1.00337,601.103,cgre,98
208,-1.03669,636.918,cgre,98
207,-0.486221,683.577,cgre,98
206,-0.743706,745.469,cgre,98
205,-0.252902,827.431,cgre,98
204,-0.55797,904.244,cgre,98
203,-0.998979,958.083,cgre,98
202,-1.04908,981.237,cgre,98
201,-0.492032,981.907,cgre,98
200,-1.03553,981.844,cgre,98
260,0.795728,291.865,pplu,30
259,0.842376,292.655,pplu,30
258,0.871637,293.439,pplu,30
257,0.838696,294.192,pplu,30
256,0.821236,294.946,pplu,30
255,0.785293,295.681,pplu,30
254,0.809691,296.415,pplu,30
253,0.802039,297.138,pplu,30
252,0.820791,297.864,pplu,30
251,0.801856,298.593,pplu,30
250,0.786389,299.314,pplu,30
249,0.725666,300.013,pplu,30
248,0.683945,300.768,pplu,30
247,0.704886,301.569,pplu,30
246,0.719686,302.43,pplu,30
245,0.760665,303.309,pplu,30
244,0.706209,304.214,pplu,30
243,0.691918,305.211,pplu,30
242,0.665817,306.307,pplu,30
241,0.6084,307.513,pplu,30
240,0.500573,308.837,pplu,30
239,0.421716,310.273,pplu,30
238,0.388819,311.82,pplu,30
237,0.312471,313.439,pplu,30
236,0.166178,315.128,pplu,30
235,0.0058027,316.901,pplu,30
234,-0.0698,318.766,pplu,30
233,-0.112392,320.73,pplu,30
232,-0.214449,322.738,pplu,30
231,-0.30711,324.922,pplu,30
230,-0.466187,327.403,pplu,30
229,-0.574187,330.245,pplu,30
228,-0.728891,333.543,pplu,30
227,-0.815383,337.272,pplu,30
226,-0.899613,341.523,pplu,30
225,-1.02424,346.354,pplu,30
224,-1.18702,351.752,pplu,30
223,-1.41421,357.722,pplu,30
222,-1.5691,364.3,pplu,30
221,-1.58032,371.512,pplu,30
220,-1.59957,379.307,pplu,30
219,-1.46599,387.652,pplu,30
218,-1.38453,396.41,pplu,30
217,-1.23997,405.485,pplu,30
216,-1.00121,414.812,pplu,30
215,-0.768758,424.344,pplu,30
214,-0.371809,434.151,pplu,30
213,-0.140588,444.168,pplu,30
212,0.221474,454.412,pplu,30
211,0.792194,464.854,pplu,30
210,1.32377,475.451,pplu,30
209,2.24136,486.377,pplu,30
208,3.03659,497.694,pplu,30
207,4.04095,509.76,pplu,30
206,4.78123,522.875,pplu,30
205,5.61708,537.793,pplu,30
204,6.37126,555.541,pplu,30
203,6.84977,577.931,pplu,30
202,7.06873,607.564,pplu,30
201,6.71216,648.332,pplu,30
200,6.53682,706.207,pplu,30
260,0.633846,298.998,pplu,98
259,0.614045,299.866,pplu,98
258,0.623511,300.743,pplu,98
257,0.612731,301.596,pplu,98
256,0.586434,302.442,pplu,98
255,0.562734,303.269,pplu,98
254,0.511232,304.065,pplu,98
253,0.542432,304.879,pplu,98
252,0.555939,305.687,pplu,98
251,0.570243,306.506,pplu,98
250,0.506851,307.29,pplu,98
249,0.47029,308.068,pplu,98
248,0.439182,308.891,pplu,98
247,0.454868,309.758,pplu,98
246,0.409172,310.668,pplu,98
245,0.374186,311.585,pplu,98
244,0.331489,312.537,pplu,98
243,0.286987,313.557,pplu,98
242,0.283943,314.681,pplu,98
241,0.281716,315.917,pplu,98
240,0.235838,317.262,pplu,98
239,0.230514,318.719,pplu,98
238,0.223984,320.279,pplu,98
